NatDex,Pokemon,Total votes
94,Gengar,216939
258,Mudkip,205027
143,Snorlax,181286
194,Wooper,179396
133,Eevee,117980
196,Espeon,117067
1,Bulbasaur,109803
474,Porygon-Z,99638
155,Cyndaquil,80754
253,Grovyle,79781
330,Flygon,76744
131,Lapras,76029
302,Sableye,75352
195,Quagsire,70550
722,Rowlet,69902
359,Absol,68726
363,Spheal,58650
447,Riolu,55286
37,Alolan Vulpix,55182
79,Slowpoke,53325
149,Dragonite,51952
147,Dratini,50487
551,Sandile,49550
443,Gible,46151
151,Mew,45891
?,Lechonk,43953
303,Mawile,43709
181,Ampharos,41400
842,Appletun,40778
494,Victini,40351
212,Scizor,36645
453,Croagunk,36516
778,Mimikyu,25678
405,Luxray,23518
571,Zoroark,23508
478,Froslass,23036
-1,Missingno,22255
26,Raichu,22210
428,Mega Lopunny,21899
501,Oshawott,21459
700,Sylveon,21000
134,Vaporeon,20708
423,Gastrodon,20653
389,Torterra,20040
129,Magikarp,19685
802,Marshadow,19679
380,Latias,18902
882,Dracovish,18816
872,Snom,18423
823,Corviknight,18240
132,Ditto,18090
570,Zorua,17557
265,Wurmple,17154
59,Arcanine,16808
706,Goodra,16755
306,Aggron,16390
796,Xurkitree,16353
300,Skitty,16150
12,Butterfree,11978
556,Maractus,11913
875,Eiscue,11733
543,Venipede,11267
?,Klawf,10478
339,Barboach,5236
