# Last updated: 2022-02-16T05:57:13.090Z
number,pokemon,tld,domain
4,Charmander,ER,charmand.er
9,Blastoise,SE,blastoi.se
10,Caterpie,IE,caterp.ie
12,Butterfree,EE,butterfr.ee
12,Butterfree,FREE,butter.free
14,Kakuna,NA,kaku.na
17,Pidgeotto,TO,pidgeot.to
25,Pikachu,HU,pikac.hu
26,Raichu,HU,raic.hu
28,Sandslash,SH,sandsla.sh
30,Nidorina,NA,nidori.na
33,Nidorino,NO,nidori.no
34,Nidoking,ING,nidok.ing
34,Nidoking,NG,nidoki.ng
36,Clefable,ABLE,clef.able
38,Ninetales,ES,ninetal.es
41,Zubat,AT,zub.at
42,Golbat,AT,golb.at
43,Oddish,SH,oddi.sh
43,Oddish,DISH,od.dish
44,Gloom,OM,glo.om
45,Vileplume,ME,vileplu.me
46,Paras,AS,par.as
48,Venonat,AT,venon.at
49,Venomoth,TH,venomo.th
50,Diglett,TT,digle.tt
51,Dugtrio,IO,dugtr.io
51,Dugtrio,RIO,dugt.rio
52,Meowth,TH,meow.th
54,Psyduck,CK,psydu.ck
55,Golduck,CK,goldu.ck
57,Primeape,PE,primea.pe
59,Arcanine,NE,arcani.ne
60,Poliwag,AG,poliw.ag
62,Poliwrath,TH,poliwra.th
65,Alakazam,AM,alakaz.am
67,Machoke,KE,macho.ke
68,Machamp,MP,macha.mp
72,Tentacool,COOL,tenta.cool
74,Geodude,DE,geodu.de
75,Graveler,ER,gravel.er
78,Rapidash,SH,rapida.sh
79,Slowpoke,KE,slowpo.ke
80,Slowbro,RO,slowb.ro
85,Dodrio,RIO,dod.rio
85,Dodrio,IO,dodr.io
87,Dewgong,NG,dewgo.ng
87,Dewgong,ONG,dewg.ong
88,Grimer,ER,grim.er
89,Muk,UK,m.uk
90,Shellder,ER,shelld.er
91,Cloyster,ER,cloyst.er
92,Gastly,LY,gast.ly
93,Haunter,ER,haunt.er
94,Gengar,AR,geng.ar
96,Drowzee,EE,drowz.ee
97,Hypno,NO,hyp.no
98,Krabby,BY,krab.by
99,Kingler,ER,kingl.er
101,Electrode,DE,electro.de
104,Cubone,NE,cubo.ne
104,Cubone,ONE,cub.one
106,Hitmonlee,EE,hitmonl.ee
108,Lickitung,NG,lickitu.ng
109,Koffing,ING,koff.ing
109,Koffing,NG,koffi.ng
110,Weezing,ING,weez.ing
110,Weezing,NG,weezi.ng
114,Tangela,LA,tange.la
119,Seaking,NG,seaki.ng
119,Seaking,ING,seak.ing
121,Starmie,IE,starm.ie
122,Mr. Mime,ME,mrmi.me
123,Scyther,ER,scyth.er
125,Electabuzz,BUZZ,electa.buzz
126,Magmar,AR,magm.ar
127,Pinsir,IR,pins.ir
131,Lapras,AS,lapr.as
132,Ditto,TO,dit.to
133,Eevee,EE,eev.ee
139,Omastar,AR,omast.ar
139,Omastar,STAR,oma.star
140,Kabuto,TO,kabu.to
141,Kabutops,PS,kabuto.ps
143,Snorlax,AX,snorl.ax
144,Articuno,UNO,artic.uno
144,Articuno,NO,articu.no
146,Moltres,ES,moltr.es
147,Dratini,NI,drati.ni
148,Dragonair,IR,dragona.ir
155,Cyndaquil,IL,cyndaqu.il
156,Quilava,VA,quila.va
159,Croconaw,AW,crocon.aw
160,Feraligatr,TR,feraliga.tr
161,Sentret,ET,sentr.et
162,Furret,ET,furr.et
165,Ledyba,BA,ledy.ba
169,Crobat,AT,crob.at
172,Pichu,HU,pic.hu
182,Bellossom,OM,belloss.om
185,Sudowoodo,DO,sudowoo.do
188,Skiploom,OM,skiplo.om
190,Aipom,OM,aip.om
193,Yanma,MA,yan.ma
194,Wooper,ER,woop.er
195,Quagsire,RE,quagsi.re
199,Slowking,NG,slowki.ng
199,Slowking,ING,slowk.ing
200,Misdreavus,US,misdreav.us
202,Wobbuffet,ET,wobbuff.et
204,Pineco,ECO,pin.eco
204,Pineco,CO,pine.co
205,Forretress,SS,forretre.ss
207,Gligar,AR,glig.ar
211,Qwilfish,FISH,qwil.fish
211,Qwilfish,SH,qwilfi.sh
214,Heracross,SS,heracro.ss
216,Teddiursa,SA,teddiur.sa
217,Ursaring,ING,ursar.ing
217,Ursaring,NG,ursari.ng
218,Slugma,MA,slug.ma
221,Piloswine,NE,piloswi.ne
221,Piloswine,WINE,pilos.wine
222,Corsola,LA,corso.la
223,Remoraid,ID,remora.id
226,Mantine,NE,manti.ne
229,Houndoom,OM,houndo.om
231,Phanpy,PY,phan.py
234,Stantler,ER,stantl.er
235,Smeargle,GLE,smear.gle
237,Hitmontop,TOP,hitmon.top
239,Elekid,ID,elek.id
240,Magby,BY,mag.by
245,Suicune,NE,suicu.ne
246,Larvitar,AR,larvit.ar
247,Pupitar,AR,pupit.ar
248,Tyranitar,AR,tyranit.ar
251,Celebi,BI,cele.bi
259,Marshtomp,MP,marshto.mp
261,Poochyena,NA,poochye.na
262,Mightyena,NA,mightye.na
264,Linoone,ONE,lino.one
264,Linoone,NE,linoo.ne
267,Beautifly,LY,beautif.ly
267,Beautifly,FLY,beauti.fly
270,Lotad,AD,lot.ad
271,Lombre,RE,lomb.re
273,Seedot,DOT,see.dot
274,Nuzleaf,AF,nuzle.af
279,Pelipper,ER,pelipp.er
282,Gardevoir,IR,gardevo.ir
283,Surskit,IT,sursk.it
284,Masquerain,IN,masquera.in
285,Shroomish,SH,shroomi.sh
286,Breloom,OM,brelo.om
287,Slakoth,TH,slako.th
288,Vigoroth,TH,vigoro.th
289,Slaking,ING,slak.ing
